Home,Away,FTR
Burnley,Manchester Utd,
Manchester City,Aston Villa,
Fulham,Arsenal,
Crystal Palace,Southampton,
Liverpool,Leeds United,
West Ham,Newcastle Utd,
West Brom,Leicester City,
Tottenham,Everton,
Sheffield Utd,Wolves,
Brighton,Chelsea,
Everton,West Brom,
Leeds United,Fulham,
Manchester Utd,Crystal Palace,
Arsenal,West Ham,
Southampton,Tottenham,
Newcastle Utd,Brighton,
Chelsea,Liverpool,
Leicester City,Burnley,
Aston Villa,Sheffield Utd,
Wolves,Manchester City,
Brighton,Manchester Utd,
Crystal Palace,Everton,
West Brom,Chelsea,
Burnley,Southampton,
Sheffield Utd,Leeds United,
Tottenham,Newcastle Utd,
Manchester City,Leicester City,
West Ham,Wolves,
Fulham,Aston Villa,
Liverpool,Arsenal,
Chelsea,Crystal Palace,
Everton,Brighton,
Leeds United,Manchester City,
Newcastle Utd,Burnley,
Leicester City,West Ham,
Southampton,West Brom,
Arsenal,Sheffield Utd,
Wolves,Fulham,
Manchester Utd,Tottenham,
Aston Villa,Liverpool,
Everton,Liverpool,
Chelsea,Southampton,
Manchester City,Arsenal,
Newcastle Utd,Manchester Utd,
Sheffield Utd,Fulham,
Crystal Palace,Brighton,
Tottenham,West Ham,
Leicester City,Aston Villa,
West Brom,Burnley,
Leeds United,Wolves,
Aston Villa,Leeds United,
West Ham,Manchester City,
Fulham,Crystal Palace,
Manchester Utd,Chelsea,
Liverpool,Sheffield Utd,
Southampton,Everton,
Wolves,Newcastle Utd,
Arsenal,Leicester City,
Brighton,West Brom,
Burnley,Tottenham,
Wolves,Crystal Palace,
Sheffield Utd,Manchester City,
Burnley,Chelsea,
Liverpool,West Ham,
Aston Villa,Southampton,
Newcastle Utd,Everton,
Manchester Utd,Arsenal,
Tottenham,Brighton,
Fulham,West Brom,
Leeds United,Leicester City,
Brighton,Burnley,
Southampton,Newcastle Utd,
Everton,Manchester Utd,
Crystal Palace,Leeds United,
Chelsea,Sheffield Utd,
West Ham,Fulham,
West Brom,Tottenham,
Leicester City,Wolves,
Manchester City,Liverpool,
Arsenal,Aston Villa,
Newcastle Utd,Chelsea,
Aston Villa,Brighton,
Tottenham,Manchester City,
Manchester Utd,West Brom,
Fulham,Everton,
Sheffield Utd,West Ham,
Leeds United,Arsenal,
Liverpool,Leicester City,
Burnley,Crystal Palace,
Wolves,Southampton,
Crystal Palace,Newcastle Utd,
Brighton,Liverpool,
Manchester City,Burnley,
Everton,Leeds United,
West Brom,Sheffield Utd,
Southampton,Manchester Utd,
Chelsea,Tottenham,
Arsenal,Wolves,
Leicester City,Fulham,
West Ham,Aston Villa,
Sheffield Utd,Leicester City,
Tottenham,Arsenal,
Burnley,Everton,
Brighton,Southampton,
West Ham,Manchester Utd,
Manchester City,Fulham,
West Brom,Crystal Palace,
Aston Villa,Newcastle Utd,
Liverpool,Wolves,
Chelsea,Leeds United,
Everton,Chelsea,
Newcastle Utd,West Brom,
Wolves,Aston Villa,
Manchester Utd,Manchester City,
Crystal Palace,Tottenham,
Leeds United,West Ham,
Southampton,Sheffield Utd,
Fulham,Liverpool,
Arsenal,Burnley,
Leicester City,Brighton,
Arsenal,Southampton,
Aston Villa,Burnley,
Leicester City,Everton,
Fulham,Brighton,
West Ham,Crystal Palace,
Leeds United,Newcastle Utd,
Wolves,Chelsea,
Sheffield Utd,Manchester Utd,
Manchester City,West Brom,
Liverpool,Tottenham,
West Brom,Aston Villa,
Newcastle Utd,Fulham,
Burnley,Wolves,
Everton,Arsenal,
Brighton,Sheffield Utd,
Southampton,Manchester City,
Chelsea,West Ham,
Tottenham,Leicester City,
Manchester Utd,Leeds United,
Crystal Palace,Liverpool,
Fulham,Southampton,
Leicester City,Manchester Utd,
Arsenal,Chelsea,
Aston Villa,Crystal Palace,
West Ham,Brighton,
Manchester City,Newcastle Utd,
Liverpool,West Brom,
Wolves,Tottenham,
Leeds United,Burnley,
Southampton,West Ham,
Chelsea,Aston Villa,
Tottenham,Fulham,
West Brom,Leeds United,
Newcastle Utd,Liverpool,
Manchester Utd,Wolves,
Brighton,Arsenal,
Burnley,Sheffield Utd,
Everton,Manchester City,
West Brom,Arsenal,
Crystal Palace,Sheffield Utd,
Tottenham,Leeds United,
Newcastle Utd,Leicester City,
Chelsea,Manchester City,
Southampton,Liverpool,
Manchester Utd,Aston Villa,
Brighton,Wolves,
Everton,West Ham,
Wolves,Everton,
Arsenal,Crystal Palace,
Leeds United,Southampton,
Sheffield Utd,Newcastle Utd,
Leicester City,Chelsea,
Fulham,Manchester Utd,
Liverpool,Burnley,
Manchester City,Brighton,
Leeds United,Brighton,
Manchester City,Crystal Palace,
Arsenal,Newcastle Utd,
West Ham,Burnley,
Wolves,West Brom,
Aston Villa,Everton,
Leicester City,Southampton,
Liverpool,Manchester Utd,
Burnley,Aston Villa,
Brighton,Fulham,
West Brom,Manchester City,
Manchester Utd,Sheffield Utd,
Chelsea,Wolves,
Southampton,Arsenal,
Tottenham,Liverpool,
Crystal Palace,West Ham,
Arsenal,Manchester Utd,
Southampton,Aston Villa,
Brighton,Tottenham,
West Ham,Liverpool,
West Brom,Fulham,
Chelsea,Burnley,
Crystal Palace,Wolves,
Everton,Newcastle Utd,
Burnley,Manchester City,
Wolves,Arsenal,
Fulham,Leicester City,
Aston Villa,West Ham,
Newcastle Utd,Crystal Palace,
Tottenham,Chelsea,
Liverpool,Brighton,
Fulham,West Ham,
Newcastle Utd,Southampton,
Leeds United,Crystal Palace,
Manchester Utd,Everton,
Tottenham,West Brom,
Liverpool,Manchester City,
Sheffield Utd,Chelsea,
Crystal Palace,Burnley,
Arsenal,Leeds United,
Chelsea,Newcastle Utd,
West Ham,Sheffield Utd,
Southampton,Wolves,
West Brom,Manchester Utd,
Leicester City,Liverpool,
Manchester City,Tottenham,
Brighton,Aston Villa,
Fulham,Sheffield Utd,
West Ham,Tottenham,
Manchester Utd,Newcastle Utd,
Brighton,Crystal Palace,
Wolves,Leeds United,
Liverpool,Everton,
Arsenal,Manchester City,
Burnley,West Brom,
Southampton,Chelsea,
Aston Villa,Leicester City,
Manchester City,West Ham,
Chelsea,Manchester Utd,
Newcastle Utd,Wolves,
Tottenham,Burnley,
Crystal Palace,Fulham,
Leeds United,Aston Villa,
Everton,Southampton,
Leicester City,Arsenal,
West Brom,Brighton,
Sheffield Utd,Liverpool,
Burnley,Arsenal,
Sheffield Utd,Southampton,
West Ham,Leeds United,
Liverpool,Fulham,
Chelsea,Everton,
West Brom,Newcastle Utd,
Brighton,Leicester City,
Tottenham,Crystal Palace,
Aston Villa,Wolves,
Manchester City,Manchester Utd,
Arsenal,Tottenham,
Leicester City,Sheffield Utd,
Newcastle Utd,Aston Villa,
Southampton,Brighton,
Crystal Palace,West Brom,
Everton,Burnley,
Leeds United,Chelsea,
Fulham,Manchester City,
Manchester Utd,West Ham,
Wolves,Liverpool,
Fulham,Leeds United,
Tottenham,Southampton,
West Brom,Everton,
Liverpool,Chelsea,
West Ham,Arsenal,
Sheffield Utd,Aston Villa,
Crystal Palace,Manchester Utd,
Manchester City,Wolves,
Burnley,Leicester City,
Brighton,Newcastle Utd,
Leicester City,Manchester City,
Everton,Crystal Palace,
Newcastle Utd,Tottenham,
Arsenal,Liverpool,
Manchester Utd,Brighton,
Southampton,Burnley,
Leeds United,Sheffield Utd,
Chelsea,West Brom,
Wolves,West Ham,
Aston Villa,Fulham,
Liverpool,Aston Villa,
West Brom,Southampton,
Burnley,Newcastle Utd,
West Ham,Leicester City,
Fulham,Wolves,
Tottenham,Manchester Utd,
Manchester City,Leeds United,
Brighton,Everton,
Sheffield Utd,Arsenal,
Crystal Palace,Chelsea,
Newcastle Utd,West Ham,
Southampton,Crystal Palace,
Aston Villa,Manchester City,
Wolves,Sheffield Utd,
Manchester Utd,Burnley,
Chelsea,Brighton,
Everton,Tottenham,
Arsenal,Fulham,
Leicester City,West Brom,
Leeds United,Liverpool,
Leicester City,Crystal Palace,
Manchester City,Southampton,
Aston Villa,West Brom,
Liverpool,Newcastle Utd,
Arsenal,Everton,
Wolves,Burnley,
West Ham,Chelsea,
Leeds United,Manchester Utd,
Fulham,Tottenham,
Sheffield Utd,Brighton,
Southampton,Leicester City,
West Brom,Wolves,
Burnley,West Ham,
Chelsea,Fulham,
Everton,Aston Villa,
Manchester Utd,Liverpool,
Crystal Palace,Manchester City,
Brighton,Leeds United,
Tottenham,Sheffield Utd,
Newcastle Utd,Arsenal,
Manchester City,Chelsea,
Aston Villa,Manchester Utd,
Wolves,Brighton,
Leeds United,Tottenham,
Fulham,Burnley,
Leicester City,Newcastle Utd,
Arsenal,West Brom,
Sheffield Utd,Crystal Palace,
West Ham,Everton,
Liverpool,Southampton,
Everton,Sheffield Utd,
Brighton,West Ham,
Burnley,Leeds United,
West Brom,Liverpool,
Manchester Utd,Leicester City,
Chelsea,Arsenal,
Newcastle Utd,Manchester City,
Tottenham,Wolves,
Southampton,Fulham,
Crystal Palace,Aston Villa,
Chelsea,Leicester City,
Manchester Utd,Fulham,
West Brom,West Ham,
Brighton,Manchester City,
Newcastle Utd,Sheffield Utd,
Burnley,Liverpool,
Tottenham,Aston Villa,
Crystal Palace,Arsenal,
Everton,Wolves,
Southampton,Leeds United,
Wolves,Manchester Utd,
Leeds United,West Brom,
Manchester City,Everton,
Leicester City,Tottenham,
Aston Villa,Chelsea,
West Ham,Southampton,
Arsenal,Brighton,
Fulham,Newcastle Utd,
Sheffield Utd,Burnley,
Liverpool,Crystal Palace,
